review,Reviewer_Score,sentiment,review_length,clean_review
 Hotel was great clean friendly staff free breakfast every morning with good selection good wifi connection nice sized room with bath fridge in room Personally loved the fact that the hotel isn t in the city centre but is literally next to a train station that you can easily get to and from the airport city Would definitely stay again   Would have appreciated a shop in the hotel that sold drinking water etc but not necessity Would recommend if like us you arrive late at night to bring drinks from plane airport as there s no shop nearby There is a minibar though if you want to pay those prices ,9.6,1,600,hotel great clean friendli staff free breakfast everi morn good select good wifi connect nice size room bath fridg room person love fact hotel citi centr liter next train station easili get airport citi would definit stay would appreci shop hotel sold drink water etc necess would recommend like us arriv late night bring drink plane airport shop nearbi minibar though want pay price
No Positive  No tissue paper box was present at the room,8.8,1,56,posit tissu paper box present room
 Nice welcoming and service  Pillows ,7.9,1,37,nice welcom servic pillow
 Everything including the nice upgrade The Hotel has been revamped and what a surprise Love every second of it including in room dining which was excellent No Negative,10.0,1,167,everyth includ nice upgrad hotel revamp surpris love everi second includ room dine excel neg
 Lovely hotel v welcoming staff  No Negative,9.6,1,44,love hotel v welcom staff neg
 The location is perfect if you don t have a lot of time and you want to have a look at the city centre   They don t have free wifi,8.3,1,131,locat perfect lot time want look citi centr free wifi
 Location price It did not cost much more to have breakfast included Room was a reasonable size and bed was comfortable   Room generally a bit shabby with some lack of maintenance Some crumbs on bedroom floor these issues did not spoil our minibreak It would be nice to have vegetarian sausages available for breakfast ,7.5,1,319,locat price cost much breakfast includ room reason size bed comfort room gener bit shabbi lack mainten crumb bedroom floor issu spoil minibreak would nice vegetarian sausag avail breakfast
 Comphy bed upgraded to executive room with nespresso machine etc for only 24 3 nights quiet room clean 4 free waters in the fridge tho no refill and close to Hammersmith station shops and Starbucks Olympia is in walking distance too  Executive rooms 9th Floor don t have a bath Their website made it look like all rooms did have one and when being at the end of a hall there s no wifi connection possible Mind that during my first two stays here I did have a perfect wifi connection ,7.9,1,484,comphi bed upgrad execut room nespresso machin etc night quiet room clean free water fridg tho refil close hammersmith station shop starbuck olympia walk distanc execut room th floor bath websit made look like room one end hall wifi connect possibl mind first two stay perfect wifi connect
 Its centrality proximity to our destination  Pity about the two days of rain,9.2,1,77,central proxim destin piti two day rain
 Didn t like anything about the stay if i had a chance to change or cancel it I would do it right away   Didn t like it at all construction was in progress stuff lied to us about vacancy ,2.5,0,187,like anyth stay chanc chang cancel would right away like construct progress stuff lie us vacanc
 Free upgrade in Executive Double room complementary daily access to the Spa area Modern design Big and cozy room Open space between bathroom and bedroom is a great concept suitable for a couple Free parking option available Easy to reach from highway   N A,10.0,1,257,free upgrad execut doubl room complementari daili access spa area modern design big cozi room open space bathroom bedroom great concept suitabl coupl free park option avail easi reach highway n
 The location breakfast friendly staff nice rooms No Negative,8.8,1,61,locat breakfast friendli staff nice room neg
 Top location near Amsterdam Central Urban room was perfect and everything was brand new Bed is like heaven Personnel is quite busy but always responsive and friendly   Pool was very small and kind of chemical too much chlorine,8.8,1,227,top locat near amsterdam central urban room perfect everyth brand new bed like heaven personnel quit busi alway respons friendli pool small kind chemic much chlorin
 The staff was very kind and polite and they quickly took care of all our needs The rooms are very comfortable and the cleanings are perfect   In the room they gave us first wi fi signal was very low When we pointed out that the staff immediatly proposed us to change room in order to have a better internet service So we really appreciated their availability However they could work to improve the wi fi system all around the building ,9.6,1,436,staff kind polit quickli took care need room comfort clean perfect room gave us first wi fi signal low point staff immediatli propos us chang room order better internet servic realli appreci avail howev could work improv wi fi system around build
 Handy location can see it from the Central train station We got a special deal on a suite so had a decent sized room   Breakfast was okay Typical European but did start at 6am which was good as we had an early flight out ,9.2,1,222,handi locat see central train station got special deal suit decent size room breakfast okay typic european start good earli flight
 I loved everything about the place The location was good and the staff I can proudly say was very very friendly and helpful to the maximum I will come back God willing  No Negative,9.6,1,181,love everyth place locat good staff proudli say friendli help maximum come back god will neg
 Locate ideal clean facility  1 Bed was faulty seemed to dip in the middle very uncomfortable 2 VERY noisy room so got very little sleep because of 1 and 2 3 Make up mirror faulty 4 Cleaning disturbing me when I m trying to get ready for work 5 Concierge whose response was oh dear i was not impressed ,4.6,0,302,locat ideal clean facil bed faulti seem dip middl uncomfort noisi room got littl sleep make mirror faulti clean disturb tri get readi work concierg whose respons oh dear impress
 Breakfast buffet No Negative,9.6,1,29,breakfast buffet neg
 Location  Very noisy room close to an extrrnal electricity cell buzzing loud all the time air conditioning with poor control cheap fixtures very small room poor value for the money spent quite a lot ,5.8,0,200,locat noisi room close extrrnal electr cell buzz loud time air condit poor control cheap fixtur small room poor valu money spent quit lot
 All the hotel facilities were great 10 minutes walk to the beach and easy access to the city via the metro  No Negative,9.6,1,120,hotel facil great minut walk beach easi access citi via metro neg
 The Location and the view Close to the Duomo The Staff especially in reception and a desire to help  Room rate a bit expensive Breakfast included in the room rate is very basic Need to pay more attention to room cleaning,8.3,1,221,locat view close duomo staff especi recept desir help room rate bit expens breakfast includ room rate basic need pay attent room clean
 Location Culture bars and restaurants Transport Cleanliness of hotel and city   Nothing to dislike,9.6,1,99,locat cultur bar restaur transport cleanli hotel citi noth dislik
 Staff were very helpful food was lovely and excellent value for money   I wouldn t say it was a 5 star hotel but a very good 4 Star,10.0,1,132,staff help food love excel valu money say star hotel good star
 Good location for Camden Lock and market wouldn t want to pay the walk in price though No Negative,7.5,1,99,good locat camden lock market want pay walk price though neg
 What a lovely hotel The welcome was fantastic and lovely treats left in room and upgrade as our anniversary The room was spacious and the bathroom huge The room was great with a wonderful bed v comfortable We popped out for a walk via the secret jugged pub and sneaked back in for a wonderful night sleep Will definitely return again and experience wonderfully helpful staff and top facilities Amazing Breakfest  No Negative,10.0,1,425,love hotel welcom fantast love treat left room upgrad anniversari room spaciou bathroom huge room great wonder bed v comfort pop walk via secret jug pub sneak back wonder night sleep definit return experi wonder help staff top facil amaz breakfest neg
 The staff were always helpful and friendly and the hotel was in a good location next to the train and metro lines with some nice cafes and a park nearby  The air conditioning failed on one night however there was no issue in changing rooms If anything i know its Paris and rooms are small by nature but it did feel a bit cramped ,7.9,1,330,staff alway help friendli hotel good locat next train metro line nice cafe park nearbi air condit fail one night howev issu chang room anyth know pari room small natur feel bit cramp
 Pleasant hotel although it was very busy very welcoming   There wasn t anything to dislike ,9.6,1,92,pleasant hotel although busi welcom anyth dislik
 Very nice Hotel with a Filler pub inside very clean comfortable room everything needed was inside even a wonderful Nespresso machine   The location was very close to the Tower of London and the Thames but during the weekend the area is too calm and quiet far away from shops and places of interest ,9.2,1,299,nice hotel filler pub insid clean comfort room everyth need insid even wonder nespresso machin locat close tower london thame weekend area calm quiet far away shop place interest
 Perfect location and nice rooms  rooms need more lights,8.8,1,56,perfect locat nice room room need light
 Good breakfast   Very expensive parking When we booked a 3 adult room we were squeezed to a 2 people room where the extra bed barely fit the booking details were very misleading Had to complain and argue with the staff to finally get upgraded All and all painful experience ,5.4,0,275,good breakfast expens park book adult room squeez peopl room extra bed bare fit book detail mislead complain argu staff final get upgrad pain experi
 The hotel was in a great spot near to everything without being in the middle of it all The hotel was lovely and the staff very helpful  No Negative,8.8,1,148,hotel great spot near everyth without middl hotel love staff help neg
 The hotel is ideally placed in the centre of the city close to all the main tourist sites All the staff spoke perfect English and were incredibly helpful The hotel is quite funky and a draw for younger people but we did not feel out of place as a mature couple The Lobby restaurant was excellent and reasonably priced for a hotel in the city centre   Nothing,9.6,1,359,hotel ideal place centr citi close main tourist site staff spoke perfect english incred help hotel quit funki draw younger peopl feel place matur coupl lobbi restaur excel reason price hotel citi centr noth
